#---EXFOR Request #1063
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0083006 
#NOW            2022/01/17:06:16:58
#SUBENT         L0083006   20050713
#ENTRY          L0083      20050713
#AUTHOR1        J.Ahrens+
#YEAR           1972
#X4REF1         C,72SENDAI,213,1972
#REFERENCE1     Conf: Conf.Nucl.Structure Studies, Sendai, Japan, 1972, p.213 (1972)
#REACTION       13-AL-27(G,ABS),,SIG
#D4REAC         R0#
#C4Reaction     (G,ABS),SIG
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           256         3           12
 8.84        3.69        78.3        
 7.94        2.91        79.2        
 5.03        3.02        80.2        
 3.35        2.46        80.8        
 1.11        1.9         82.         
 2.35        2.91        82.4        
 0.671       2.23        83.1        
 2.79        2.79        84.         
 -0.447      2.46        84.7        
 -3.58       2.01        85.8        
 1.          2.57        86.4        
 2.12        2.68        87.7        
 0.          2.91        88.5        
 -1.         2.91        89.1        
 2.23        2.91        90.1        
 -0.559      2.12        90.7        
 3.58        2.79        91.7        
 1.9         2.91        93.         
 2.46        2.46        93.9        
 4.47        2.68        94.4        
 -3.47       2.68        95.5        
 1.          2.23        96.7        
 0.895       2.23        97.6        
 5.37        2.01        98.4        
 0.559       1.79        99.5        
 0.559       2.35        100.        
 1.45        2.68        101.        
 0.895       2.01        102.        
 5.26        3.02        103.        
 0.671       2.46        104.        
 -0.671      2.57        105.        
 1.56        2.79        106.        
 -2.46       3.35        108.        
 -1.23       3.35        109.        
 1.45        2.91        110.        
 -5.37       2.57        111.        
 -4.81       3.58        112.        
 0.671       2.79        113.        
 -0.895      3.13        114.        
 4.58        3.02        115.        
 6.04        3.24        116.        
 3.91        3.58        118.        
 -0.671      2.79        119.        
 3.8         2.46        120.        
 4.47        3.24        121.        
 3.58        3.24        122.        
 1.9         3.02        124.        
 5.03        2.68        125.        
 1.67        2.57        126.        
 -2.46       2.46        127.        
 -0.783      2.57        129.        
 1.56        3.02        130.        
 2.68        3.02        131.        
 1.56        2.91        133.        
 3.02        2.91        134.        
 3.91        2.35        135.        
 -3.58       3.13        137.        
 -3.47       2.46        138.        
#ENDDATA        256         3
#Legend         3           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     L0083006 
#=============================================================================
#DATASET        L0122007 
#NOW            2022/01/17:06:16:58
#SUBENT         L0122007   20060418
#ENTRY          L0122      20110208
#AUTHOR1        J.M.Wyckoff+
#YEAR           1965
#X4REF1         J,PR,137,B576,1965
#REFERENCE1     Jour: Physical Review, Vol.137, p.B576 (1965)
#REACTION       13-AL-27(G,ABS),,SIG,,BRS
#D4REAC         R0#
#C4Reaction     (G,ABS),SIG,,BRS
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        ERR-S       EN          
!MB          MB          MEV         
!Y.Value     Y.sErr+-    X1.Value    
!0.1         0.944       1.1         
!variable    const       variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           51          3           12
 -0.845      3.          10.2        
 2.65        3.          10.6        
 -1.2        3.          11.1        
 -0.604      3.          11.7        
 0.          3.          12.2        
 -0.604      3.          12.7        
 3.62        3.          13.2        
 -0.966      3.          13.6        
 5.07        3.          14.2        
 3.14        3.          14.7        
 3.5         3.          15.1        
 6.52        3.          15.7        
 9.06        3.          16.2        
 11.3        3.          16.7        
 13.8        3.          17.2        
 14.8        3.          17.7        
 19.2        3.          18.2        
 21.7        3.          18.7        
 23.         3.          19.2        
 24.6        3.          19.6        
 32.2        3.          20.2        
 31.5        3.          20.7        
 35.7        3.          21.2        
 37.7        3.          21.7        
 34.8        3.          22.2        
 30.4        3.          22.7        
 26.4        3.          23.1        
 22.5        3.          23.7        
 21.3        3.          24.2        
 21.5        3.          24.7        
 17.2        3.          25.2        
 18.4        3.          25.7        
 14.7        3.          26.1        
 16.         3.          26.6        
 16.         3.          27.2        
 13.5        3.          27.7        
 13.         3.          28.2        
 12.3        3.          28.7        
 12.4        3.          29.3        
 12.5        3.          29.8        
 12.8        3.          30.4        
 10.         3.          30.8        
 11.8        3.          31.3        
 10.8        3.          31.8        
 11.6        3.          32.3        
 11.1        3.          32.8        
 9.9         3.          33.3        
 10.1        3.          33.8        
 12.3        3.          34.1        
