#---EXFOR Request #1077
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0044002 
#NOW            2022/01/17:06:25:54
#SUBENT         L0044002   970129
#ENTRY          L0044      970129
#AUTHOR1        U.Kneissl+
#YEAR           1976
#X4REF1         J,NP/A,264,30,76
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.264, p.30 (1976)
#REACTION       (5-B-10(G,N)5-B-9,,SIG)+(5-B-10(G,N+P)4-BE-8,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          EN-ERR      
!MB          MB          MEV         PER-CENT    
!Y.Value     Y.Err+-     X1.Value    X1.Err+-    
!0.1         0.911       1.1         1.911       
!variable    variable    variable    const       
!0.001       0.001       1000000.0   1.0         
!B           B           EV          PER-CENT    
#DATA           94          4           12
!0.1         0.911       1.1                     
!variable    const       variable    const       
!0.001       1.0         1000000.0   1000.0      
!B           PER-CENT    EV          EV          
#DATA           113         4           12
 0.05497     10.         8.592       440.        
 0.1108      10.         8.878       440.        
 0.1655      10.         9.069       440.        
 0.2216      10.         9.356       440.        
 0.2899      10.         9.604       440.        
 0.3733      10.         9.871       440.        
 0.4568      10.         10.08       440.        
 0.4841      10.         10.2        440.        
 0.554       10.         10.35       440.        
 0.6222      10.         10.52       440.        
 0.7057      10.         10.65       440.        
 0.733       10.         10.79       440.        
 0.7892      10.         10.92       440.        
 0.7756      10.         11.07       440.        
 0.8727      10.         11.19       440.        
 0.9273      10.         11.3        440.        
 0.9972      10.         11.42       440.        
 1.122       10.         11.57       440.        
 1.232       10.         11.82       440.        
 1.205       10.         12.03       440.        
 1.302       10.         12.16       440.        
 1.26        10.         12.24       440.        
 1.399       10.         12.39       440.        
 1.427       10.         12.51       440.        
 1.495       10.         12.62       440.        
 1.524       10.         12.75       440.        
 1.51        10.         12.85       440.        
 1.565       10.         12.95       440.        
 1.621       10.         13.19       440.        
 1.676       10.         13.37       440.        
 1.703       10.         13.48       440.        
 1.759       10.         13.59       440.        
 1.814       10.         13.71       440.        
 1.924       10.         13.92       440.        
 1.924       10.         14.05       440.        
 1.981       10.         14.17       440.        
 2.022       10.         14.34       440.        
 2.022       10.         14.49       440.        
 2.022       10.         14.72       440.        
 2.216       10.         14.93       440.        
 2.23        10.         15.12       440.        
 2.286       10.         15.26       440.        
 2.078       10.         15.35       440.        
 2.189       10.         15.48       440.        
 2.23        10.         15.54       440.        
 2.216       10.         15.68       440.        
 2.327       10.         15.85       440.        
 2.354       10.         15.98       440.        
 2.299       10.         16.11       440.        
 2.299       10.         16.27       440.        
 2.243       10.         16.34       440.        
 2.161       10.         16.42       440.        
 2.34        10.         16.61       440.        
 2.313       10.         16.84       440.        
 2.41        10.         17.07       440.        
 2.645       10.         17.37       440.        
 2.618       10.         17.55       440.        
 2.605       10.         17.57       440.        
 2.535       10.         17.64       440.        
 2.48        10.         17.79       440.        
 2.466       10.         17.95       440.        
 2.577       10.         18.18       440.        
 2.494       10.         18.39       440.        
 2.548       10.         18.58       440.        
 2.632       10.         18.73       440.        
 2.84        10.         18.94       440.        
 3.186       10.         19.25       440.        
 3.505       10.         19.59       440.        
 3.699       10.         19.82       440.        
 3.907       10.         19.99       440.        
 4.253       10.         20.3        440.        
 4.364       10.         20.39       440.        
 4.447       10.         20.53       440.        
 4.669       10.         20.74       440.        
 4.822       10.         20.95       440.        
 4.836       10.         20.95       440.        
 5.015       10.         21.21       440.        
 4.669       10.         21.5        440.        
 4.488       10.         21.59       440.        
 4.198       10.         21.71       440.        
 3.99        10.         21.75       440.        
 3.823       10.         21.88       440.        
 4.198       10.         22.09       440.        
 3.726       10.         22.11       440.        
 4.309       10.         22.34       440.        
 4.115       10.         22.4        440.        
 4.074       10.         22.43       440.        
 4.074       10.         22.53       440.        
 4.074       10.         22.64       440.        
 4.641       10.         22.8        440.        
 4.614       10.         22.95       440.        
 5.236       10.         23.1        440.        
 5.236       10.         23.26       440.        
 5.417       10.         23.37       440.        
 5.417       10.         23.48       440.        
 5.749       10.         23.68       440.        
 5.93        10.         23.81       440.        
 5.681       10.         23.89       440.        
 5.777       10.         24.         440.        
 5.528       10.         24.08       440.        
 4.904       10.         24.17       440.        
 5.763       10.         24.21       440.        
 4.585       10.         24.32       440.        
 5.403       10.         24.38       440.        
 5.028       10.         24.53       440.        
 4.295       10.         24.53       440.        
 4.058       10.         24.61       440.        
 3.851       10.         24.67       440.        
 4.28        10.         24.84       440.        
 4.058       10.         24.92       440.        
 3.837       10.         25.07       440.        
 3.353       10.         25.09       440.        
 3.644       10.         25.26       440.        
#ENDDATA        113         4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : constant    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : PER-CENT    : [per-cent]
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#COL-4         : Data        : constant    
#+   Rank      :             : ZZZ         
#+   Type      : 09          : ZZZ         
#+   Header    : ANAL-STEP   : [Flags, etc.]
#+   Units     : KEV         : [keV]
#+   BasicUnits: EV          : Conv.Factor=1000.
#
#ENDDATASET     M0207002 
#=============================================================================
#DATASET        M0207003 
#NOW            2022/01/17:06:25:54
#SUBENT         M0207003   20130606
#ENTRY          M0207      20130606
#AUTHOR1        M.H.Ahsan+
#YEAR           1987
#X4REF1         J,NP/A,469,381,1987
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.469, p.381 (1987)
#REACTION       (5-B-10(G,N)5-B-9,,SIG,,BRS)+(5-B-10(G,N+P)4-BE-8,,SIG,,BRS)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG,,BRS)+((G,N+P),SIG,,BRS)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          ANAL-STEP   
!MB          PER-CENT    MEV         KEV         
!Y.Value     Y.Err+-     X1.Value    ZZZ         
!0.1         0.911       1.1                     
!variable    const       variable    const       
!0.001       1.0         1000000.0   1000.0      
!B           PER-CENT    EV          EV          
#DATA           134         4           12
 0.04232     10.         8.593       330.        
 0.07054     10.         8.784       330.        
 0.09875     10.         8.975       330.        
 0.1699      10.         9.166       330.        
 0.198       10.         9.319       330.        
 0.2415      10.         9.51        330.        
 0.2836      10.         9.625       330.        
 0.3257      10.         9.74        330.        
 0.3412      10.         9.873       330.        
 0.3832      10.         9.988       330.        
 0.4113      10.         10.08       330.        
 0.4394      10.         10.2        330.        
 0.5687      10.         10.41       330.        
 0.6668      10.         10.54       330.        
 0.7244      10.         10.68       330.        
 0.6964      10.         10.81       330.        
 0.7962      10.         10.91       330.        
 0.6668      10.         11.         330.        
 0.8102      10.         11.13       330.        
 0.8522      10.         11.23       330.        
 0.9939      10.         11.36       330.        
 1.094       10.         11.57       330.        
 1.207       10.         11.77       330.        
 1.165       10.         11.96       330.        
 1.235       10.         12.07       330.        
 1.193       10.         12.19       330.        
 1.393       10.         12.34       330.        
 1.393       10.         12.36       330.        
 1.393       10.         12.36       330.        
 1.435       10.         12.51       330.        
 1.449       10.         12.51       330.        
 1.435       10.         12.53       330.        
 1.479       10.         12.61       330.        
 1.493       10.         12.63       330.        
 1.493       10.         12.63       330.        
 1.435       10.         12.74       330.        
 1.435       10.         12.74       330.        
 1.578       10.         12.95       330.        
 1.578       10.         12.95       330.        
 1.62        10.         13.14       330.        
 1.606       10.         13.14       330.        
 1.606       10.         13.26       330.        
 1.606       10.         13.28       330.        
 1.606       10.         13.28       330.        
 1.706       10.         13.39       330.        
 1.648       10.         13.47       330.        
 1.776       10.         13.6        330.        
 1.89        10.         13.89       330.        
 1.962       10.         14.12       330.        
 1.962       10.         14.27       330.        
 1.976       10.         14.42       330.        
 1.976       10.         14.63       330.        
 2.217       10.         14.96       330.        
 2.217       10.         15.15       330.        
 2.075       10.         15.3        330.        
 2.161       10.         15.51       330.        
 2.261       10.         15.72       330.        
 2.374       10.         15.91       330.        
 2.275       10.         16.11       330.        
 2.217       10.         16.2        330.        
 2.303       10.         16.32       330.        
 2.189       10.         16.66       330.        
 2.472       10.         16.79       330.        
 2.189       10.         16.85       330.        
 2.373       10.         16.97       330.        
 2.486       10.         17.12       330.        
 2.843       10.         17.29       330.        
 2.63        10.         17.37       330.        
 2.63        10.         17.5        330.        
 2.402       10.         17.56       330.        
 2.602       10.         17.69       330.        
 2.43        10.         17.77       330.        
 2.472       10.         17.98       330.        
 2.744       10.         18.13       330.        
 2.444       10.         18.21       330.        
 2.402       10.         18.3        330.        
 2.275       10.         18.4        330.        
 2.644       10.         18.55       330.        
 2.516       10.         18.67       330.        
 2.8         10.         18.8        330.        
 2.885       10.         18.99       330.        
 2.999       10.         19.16       330.        
 2.943       10.         19.3        330.        
 3.398       10.         19.43       330.        
 3.354       10.         19.58       330.        
 3.753       10.         19.72       330.        
 3.668       10.         19.85       330.        
 3.739       10.         19.99       330.        
 3.867       10.         20.06       330.        
 3.837       10.         20.2        330.        
 4.364       10.         20.37       330.        
 4.436       10.         20.52       330.        
 4.663       10.         20.65       330.        
 4.833       10.         20.79       330.        
 4.635       10.         20.9        330.        
 4.947       10.         21.02       330.        
 5.16        10.         21.17       330.        
 5.046       10.         21.32       330.        
 4.961       10.         21.48       330.        
 4.805       10.         21.51       330.        
 4.663       10.         21.55       330.        
 4.521       10.         21.63       330.        
 4.294       10.         21.67       330.        
 3.995       10.         21.67       330.        
 4.322       10.         22.01       330.        
 3.853       10.         22.05       330.        
 4.478       10.         22.26       330.        
 4.18        10.         22.34       330.        
 4.308       10.         22.47       330.        
 4.222       10.         22.59       330.        
 4.521       10.         22.7        330.        
 4.819       10.         22.87       330.        
 5.132       10.         23.01       330.        
 5.004       10.         23.14       330.        
 5.843       10.         23.37       330.        
 5.928       10.         23.5        330.        
 6.17        10.         23.64       330.        
 6.441       10.         23.89       330.        
 6.1         10.         23.92       330.        
 6.114       10.         23.92       330.        
 6.098       10.         24.02       330.        
 6.098       10.         24.1        330.        
 6.255       10.         24.11       330.        
 5.928       10.         24.17       330.        
 5.288       10.         24.23       330.        
 6.114       10.         24.29       330.        
 4.891       10.         24.4        330.        
 5.729       10.         24.44       330.        
 5.274       10.         24.59       330.        
 4.45        10.         24.59       330.        
 4.847       10.         24.61       330.        
 4.222       10.         25.07       330.        
 3.64        10.         25.07       330.        
 4.194       10.         25.3        330.        
#ENDDATA        134         4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : constant    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : PER-CENT    : [per-cent]
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#COL-4         : Data        : constant    
#+   Rank      :             : ZZZ         
#+   Type      : 09          : ZZZ         
#+   Header    : ANAL-STEP   : [Flags, etc.]
#+   Units     : KEV         : [keV]
#+   BasicUnits: EV          : Conv.Factor=1000.
#
#ENDDATASET     M0207003 
#=============================================================================
#DATASET        M0207004 
#NOW            2022/01/17:06:25:54
#SUBENT         M0207004   20130606
#ENTRY          M0207      20130606
#AUTHOR1        M.H.Ahsan+
#YEAR           1987
#X4REF1         J,NP/A,469,381,1987
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.469, p.381 (1987)
#REACTION       (5-B-10(G,N)5-B-9,,SIG,,BRS)+(5-B-10(G,N+P)4-BE-8,,SIG,,BRS)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG,,BRS)+((G,N+P),SIG,,BRS)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          ANAL-STEP   
!MB          PER-CENT    MEV         KEV         
!Y.Value     Y.Err+-     X1.Value    ZZZ         
!0.1         0.911       1.1                     
!variable    const       variable    const       
!0.001       1.0         1000000.0   1000.0      
!B           PER-CENT    EV          EV          
#DATA           69          4           12
 0.3218      10.         10.91       230.        
 0.3361      10.         10.97       230.        
 0.3496      10.         11.02       230.        
 0.3496      10.         11.09       230.        
 0.3699      10.         11.12       230.        
 0.4112      10.         11.23       230.        
 0.4594      10.         11.36       230.        
 0.521       10.         11.45       230.        
 0.521       10.         11.51       230.        
 0.5278      10.         11.54       230.        
 0.5489      10.         11.61       230.        
 0.5489      10.         11.64       230.        
 0.5691      10.         11.73       230.        
 0.6105      10.         11.85       230.        
 0.6722      10.         11.99       230.        
 0.7406      10.         12.11       230.        
 0.7541      10.         12.23       230.        
 0.8301      10.         12.36       230.        
 0.8639      10.         12.48       230.        
 0.8985      10.         12.59       230.        
 0.9466      10.         12.73       230.        
 0.9947      10.         12.82       230.        
 1.07        10.         12.96       230.        
 1.098       10.         13.09       230.        
 1.18        10.         13.23       230.        
 1.289       10.         13.34       230.        
 1.269       10.         13.46       230.        
 1.214       10.         13.57       230.        
 1.317       10.         13.7        230.        
 1.386       10.         13.82       230.        
 1.386       10.         13.93       230.        
 1.544       10.         14.08       230.        
 1.482       10.         14.18       230.        
 1.619       10.         14.31       230.        
 1.516       10.         14.39       230.        
 1.605       10.         14.54       230.        
 1.708       10.         14.67       230.        
 1.735       10.         14.79       230.        
 1.797       10.         14.91       230.        
 1.852       10.         15.02       230.        
 1.968       10.         15.16       230.        
 1.797       10.         15.23       230.        
 2.016       10.         15.39       230.        
 1.948       10.         15.48       230.        
 1.948       10.         15.6        230.        
 2.099       10.         15.73       230.        
 2.099       10.         15.85       230.        
 2.189       10.         16.         230.        
 2.243       10.         16.11       230.        
 2.216       10.         16.22       230.        
 2.202       10.         16.34       230.        
 2.387       10.         16.47       230.        
 2.284       10.         16.56       230.        
 2.477       10.         16.73       230.        
 2.264       10.         16.78       230.        
 2.181       10.         16.85       230.        
 2.332       10.         17.01       230.        
 2.463       10.         17.14       230.        
 2.401       10.         17.24       230.        
 2.387       10.         17.35       230.        
 2.559       10.         17.51       230.        
 2.593       10.         17.64       230.        
 2.833       10.         17.82       230.        
 2.902       10.         17.95       230.        
 2.565       10.         17.95       230.        
 2.58        10.         18.08       230.        
 2.277       10.         18.1        230.        
 2.525       10.         18.27       230.        
 2.744       10.         18.44       230.        
#ENDDATA        69          4
#Legend         4           12
#
