#---EXFOR Request #1067
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0133002 
#NOW            2022/01/17:06:21:26
#SUBENT         L0133002   20210831
#ENTRY          L0133      20210831
#AUTHOR1        D.Zubanov+
#YEAR           1983
#X4REF1         J,PR/C,27,1957,1983
#REFERENCE1     Jour: Physical Review, Part C, Nuclear Physics, Vol.27, p.1957 (1983)
#REACTION       6-C-13(G,P)5-B-12,,SIG,,BRS
#D4REAC         R0#
#C4Reaction     (G,P),SIG,,BRS
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        ERR-S       ERR-SYS     EN          
!MB          MB          PER-CENT    MEV         
!Y.Value     Y.sErr+-    Y.pErr+-    X1.Value    
!0.1         0.944       0.955       1.1         
!variable    variable    const       variable    
!0.001       0.001       1.0         1000000.0   
!B           B           PER-CENT    EV          
#DATA           106         4           12
!Y.Value     Y.sErr+-    Y.pErr+-    X1.Value    
!0.1         0.944       0.955       1.1         
!variable    variable    const       variable    
!0.001       0.001       1.0         1000000.0   
!B           B           PER-CENT    EV          
#DATA           85          4           12
 0.0695      0.131       13.         17.4        
 0.0495      0.0786      13.         17.45       
 0.147       0.104       13.         17.5        
 0.0488      0.0524      13.         17.55       
 0.0813      0.072       13.         17.6        
 0.139       0.0917      13.         17.65       
 0.126       0.0851      13.         17.7        
 0.198       0.262       13.         17.75       
 0.0865      0.0852      13.         17.8        
 0.125       0.137       13.         17.85       
 0.099       0.0982      13.         17.9        
 0.0659      0.0655      13.         17.95       
 0.157       0.19        13.         18.         
 0.183       0.17        13.         18.05       
 0.0648      0.0917      13.         18.1        
 0.175       0.235       13.         18.15       
 0.051       0.059       13.         18.2        
 0.28        0.268       13.         18.25       
 0.404       0.183       13.         18.3        
 0.672       0.268       13.         18.35       
 0.501       0.176       13.         18.4        
 0.757       0.229       13.         18.45       
 0.697       0.137       13.         18.5        
 0.448       0.275       13.         18.55       
 0.788       0.15        13.         18.6        
 0.65        0.249       13.         18.65       
 0.637       0.183       13.         18.7        
 0.899       0.144       13.         18.75       
 0.649       0.183       13.         18.8        
 0.42        0.15        13.         18.85       
 0.282       0.176       13.         18.9        
 0.413       0.144       13.         18.95       
 0.15        0.163       13.         19.         
 0.169       0.163       13.         19.05       
 0.333       0.216       13.         19.1        
 0.293       0.144       13.         19.15       
 0.201       0.216       13.         19.2        
 0.0507      0.0655      13.         19.25       
 0.148       0.209       13.         19.3        
 0.122       0.157       13.         19.35       
 0.508       0.222       13.         19.4        
 0.612       0.124       13.         19.45       
 0.527       0.229       13.         19.5        
 0.69        0.131       13.         19.55       
 0.893       0.19        13.         19.6        
 1.14        0.144       13.         19.65       
 0.925       0.196       13.         19.7        
 0.787       0.144       13.         19.75       
 1.1         0.235       13.         19.8        
 1.33        0.209       13.         19.85       
 1.33        0.235       13.         19.9        
 1.65        0.163       13.         19.95       
 1.35        0.235       13.         20.         
 1.52        0.163       13.         20.05       
 1.77        0.209       13.         20.1        
 1.91        0.183       13.         20.15       
 2.04        0.15        13.         20.2        
 2.34        0.196       13.         20.25       
 2.06        0.163       13.         20.3        
 2.25        0.19        13.         20.35       
 2.76        0.163       13.         20.4        
 2.92        0.17        13.         20.45       
 3.26        0.196       13.         20.5        
 3.33        0.17        13.         20.55       
 3.21        0.19        13.         20.6        
 3.05        0.229       13.         20.65       
 3.31        0.17        13.         20.7        
 3.62        0.196       13.         20.75       
 2.79        0.183       13.         20.8        
 3.25        0.216       13.         20.85       
 3.12        0.176       13.         20.9        
 2.83        0.255       13.         20.95       
 2.87        0.242       13.         21.         
 2.91        0.222       13.         21.05       
 2.37        0.196       13.         21.1        
 2.29        0.235       13.         21.15       
 1.48        0.196       13.         21.2        
 1.62        0.216       13.         21.25       
 1.53        0.19        13.         21.3        
 1.83        0.288       13.         21.35       
 1.34        0.209       13.         21.4        
 1.26        0.288       13.         21.45       
 1.84        0.281       13.         21.5        
 1.49        0.255       13.         21.55       
 1.26        0.229       13.         21.6        
#ENDDATA        85          4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Error       : constant    
#+   Rank      : 0.955       : Y.pErr+-    
#+   Type      : 21          : 0.955       
#+   Header    : ERR-SYS     : [Uncertainty: +-partial error]
#+   Units     : PER-CENT    : [per-cent]
#
#COL-4         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     L0133003 
