#---EXFOR Request #1079
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0044005 
#NOW            2022/01/17:06:26:27
#SUBENT         L0044005   970129
#ENTRY          L0044      970129
#AUTHOR1        U.Kneissl+
#YEAR           1976
#X4REF1         J,NP/A,264,30,76
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.264, p.30 (1976)
#REACTION       (5-B-11(G,N)5-B-10,,SIG)+(5-B-11(G,N+P)4-BE-9,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          EN-ERR      
!MB          MB          MEV         PER-CENT    
!Y.Value     Y.Err+-     X1.Value    X1.Err+-    
!0.1         0.911       1.1         1.911       
!variable    variable    variable    const       
!0.001       0.001       1000000.0   1.0         
!B           B           EV          PER-CENT    
#DATA           94          4           12
 0.27        0.481       11.001      0.5         
 -0.25       0.435       11.499      0.5         
 0.48        0.393       11.998      0.5         
 0.19        0.378       12.403      0.5         
 0.46        0.455       12.754      0.5         
 0.64        0.423       12.994      0.5         
 1.02        0.415       13.252      0.5         
 0.48        0.379       13.492      0.5         
 0.73        0.329       13.75       0.5         
 1.11        0.36        14.009      0.5         
 0.57        0.341       14.249      0.5         
 1.11        0.335       14.507      0.5         
 1.12        0.332       14.747      0.5         
 1.23        0.313       15.005      0.5         
 1.5         0.302       15.245      0.5         
 1.78        0.293       15.504      0.5         
 1.64        0.295       15.744      0.5         
 1.94        0.277       16.002      0.5         
 1.92        0.28        16.242      0.5         
 2.          0.276       16.5        0.5         
 2.12        0.267       16.759      0.5         
 2.02        0.269       16.999      0.5         
 2.1         0.263       17.257      0.5         
 2.76        0.262       17.497      0.5         
 2.45        0.267       17.755      0.5         
 2.79        0.265       17.995      0.5         
 3.21        0.242       18.254      0.5         
 3.37        0.241       18.494      0.5         
 3.5         0.236       18.752      0.5         
 3.47        0.397       18.992      0.5         
 3.23        0.399       19.251      0.5         
 3.99        0.396       19.491      0.5         
 3.5         0.396       19.749      0.5         
 3.62        0.382       20.007      0.5         
 3.1         0.394       20.247      0.5         
 3.24        0.396       20.506      0.5         
 3.49        0.384       20.746      0.5         
 2.76        0.383       21.004      0.5         
 3.44        0.38        21.244      0.5         
 3.66        0.378       21.503      0.5         
 3.59        0.375       21.743      0.5         
 3.61        0.368       22.001      0.5         
 3.21        0.348       22.241      0.5         
 3.71        0.366       22.5        0.5         
 3.11        0.353       22.758      0.5         
 3.14        0.357       22.998      0.5         
 2.74        0.365       23.257      0.5         
 1.88        0.364       23.497      0.5         
 2.89        0.368       23.755      0.5         
 2.66        0.368       23.995      0.5         
 2.63        0.376       24.253      0.5         
 2.27        0.376       24.457      0.5         
 3.19        0.391       24.752      0.5         
 2.94        0.377       24.937      0.5         
 3.23        0.419       25.195      0.5         
 3.58        0.409       25.564      0.5         
 2.54        0.427       25.804      0.5         
 3.04        0.437       26.081      0.5         
 3.51        0.438       26.321      0.5         
 3.79        0.435       26.58       0.5         
 2.73        0.446       26.801      0.5         
 3.49        0.446       27.078      0.5         
 3.04        0.464       27.3        0.5         
 3.46        0.459       27.558      0.5         
 3.61        0.463       27.817      0.5         
 2.6         0.47        28.057      0.5         
 3.27        0.471       28.315      0.5         
 2.99        0.464       28.555      0.5         
 1.93        0.489       28.814      0.5         
 3.27        0.481       29.054      0.5         
 2.79        0.492       29.312      0.5         
 1.81        0.495       29.552      0.5         
 1.7         0.494       29.811      0.5         
 2.02        0.492       30.051      0.5         
 2.23        0.493       30.309      0.5         
 2.45        0.503       30.549      0.5         
 2.05        0.507       30.808      0.5         
 1.99        0.507       31.048      0.5         
 2.09        0.521       31.306      0.5         
 2.05        0.523       31.565      0.5         
 1.67        0.535       31.805      0.5         
 1.34        0.542       32.063      0.5         
 1.92        0.543       32.322      0.5         
 1.13        0.548       32.562      0.5         
 1.41        0.553       32.82       0.5         
 0.87        0.557       33.079      0.5         
 2.07        0.556       33.319      0.5         
 0.93        0.565       33.577      0.5         
 1.          0.565       33.817      0.5         
 1.02        0.571       34.076      0.5         
 1.77        0.576       34.316      0.5         
 1.83        0.585       34.574      0.5         
 2.63        0.591       34.814      0.5         
 2.41        0.596       35.073      0.5         
#ENDDATA        94          4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#COL-4         : Error       : constant    
#+   Rank      : 1.911       : X1.Err+-    
#+   Type      : 41          : 2.911       
#+   Header    : EN-ERR      : [Uncertainty: +-error]
#+   Units     : PER-CENT    : [per-cent]
#
#ENDDATASET     L0044005 
